['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', "Superman: The\nWedding Album Collector's Edition", '$4.95', 'DC', '227,686']
['2', 'Uncanny X-Men', '340', '$1.95', 'Marvel', '198,491']
['3', 'X-Men', '60', '$1.95', 'Marvel', '197,278']
['4', 'Wolverine', '109', '$1.95', 'Marvel', '172,241']
['5', 'Spawn', '56', '$1.95', 'Image', '158,227']
['6', 'Fantastic Four (Vol. 2)', '3', '$1.95', 'Marvel', '154,609']
['7', 'Iron Man (Vol. 2)', '3', '$1.95', 'Marvel', '138,675']
['8', 'Spawn the Impaler', '2', '$2.95', 'Image', '135,549']
['9', 'Generation X', '23', '$1.95', 'Marvel', '131,758']
['10', 'Curse of Spawn: Dark Future Blood\nLust Part III', '2', '$1.95', 'Image', '131,658']
['11', 'Avengers (Vol. 2)', '3', '$1.95', 'Marvel', '125,234']
['12', 'Captain America (Vol. 2)', '3', '$1.95', 'Marvel', '124,614']
['13', 'X-Man', '23', '$1.95', 'Marvel', '123,263']
['14', 'DC/Marvel: All Access', '2', '$1.95', 'DC', '122,718']
['15', 'X-Force', '62', '$1.95', 'Marvel', '121,913']
['16', 'DC/Marvel: All Access', '3', '$1.95', 'DC', '118,963']
['17', 'Gen13', '15', '$2.50', 'Image', '116,896']
['18', 'X-Factor', '130', '$1.95', 'Marvel', '116,335']
['19', 'Cable', '39', '$1.95', 'Marvel', '113,660']
['20', 'Deadpool', '1', '$2.95', 'Marvel', '112,405']
['21', 'Gen13 Bootleg', '1', '$2.50', 'Image', '108,471']
['22', 'Magneto', '3', '$1.95', 'Marvel', '107,468']
['23', 'Spider-Man/Gen13', '', '$4.95', 'Marvel', '106,516']
['24', 'JLA', '1', '$1.95', 'DC', '104,486']
['25', 'X-Men: The Rise of Apocalypse', '4', '$1.95', 'Marvel', '103,498']
['26', "X-Man '96", '', '$2.95', 'Marvel', '98,969']
['27', 'Imperial Guard', '1', '$1.95', 'Marvel', '98,226']
['28', 'Excalibur', '105', '$1.95', 'Marvel', '95,900']
['29', 'Adventures of Superman', '541', '$1.95', 'DC', '94,258']
['30', 'Action Comics', '728', '$1.95', 'DC', '91,839']
['31', 'Superman: The Man of Steel', '63', '$1.95', 'DC', '89,467']
['32', 'X.S.E.', '3', '$1.95', 'Marvel', '89,428']
['33', 'Amazing Spider-Man', '419', '$1.50', 'Marvel', '87,755']
['34', 'Mystique & Sabretooth', '2', '$1.95', 'Marvel', '86,984']
['35', 'Incredible Hulk', '449', '$1.50', 'Marvel', '86,624']
['36', 'Darkness', '1', '$2.50', 'Top Cow', '84,648']
['37', 'Domino', '1', '$1.95', 'Marvel', '83,278']
['38', 'Spider-Man', '76', '$1.95', 'Marvel', '82,901']
['39', 'Witchblade', '11', '$2.50', 'Top Cow', '81,509']
['40', 'Team X/Team 7', '', '$4.95', 'Marvel', '79,461']
['41', 'Spectacular Spider-Man', '242', '$1.50', 'Marvel', '76,790']
['42', 'Maverick', '', '$2.95', 'Marvel', '75,826']
['43', 'Silver Surfer/Superman', '', '$5.95', 'Marvel', '73,009']
['44', 'Sensational Spider-Man', '12', '$1.95', 'Marvel', '72,768']
['45', 'Batman', '538', '$1.95', 'DC', '67,778']
['46', 'X-Files', '24', '$2.95', 'Topps', '67,432']
['47', 'DV8', '3', '$2.50', 'Image', '66,605']
['48', 'Elektra', '3', '$1.95', 'Marvel', '66,279']
['49', 'Superman', '119', '$1.95', 'DC', '64,362']
['50', 'Spider-Man: Hobgoblin Lives', '1', '$2.50', 'Marvel', '63,700']
['51', 'Supergirl', '5', '$1.95', 'DC', '62,444']
['52', 'Detective Comics ', '705', '$1.95', 'DC', '62,098']
['53', 'Adventures of Superman', '542', '$1.95', 'DC', '61,142']
['54', 'Action Comics', '729', '$1.95', 'DC', '60,553']
['55', 'Superman: The Man of Steel', '64', '$1.95', 'DC', '59,712']
['56', 'What If?', '93', '$1.50', 'Marvel', '56,786']
['57', 'Batman: The Long Halloween', '2', '$2.95', 'DC', '56,771']
['58', 'Star Wars: Golden Age of Sith', '2', '$2.95', 'Dark Horse', '56,249']
['59', 'Superman: The Wedding Album Std. Ed.', '', '$4.95', 'DC', '55,083']
['60', 'Nightwing', '4', '$1.95', 'DC', '54,324']
['61', 'Star Trek Unlimited', '2', '$2.95', 'Marvel', '53,473']
['62', 'Venom: Tooth and Claw', '2', '$1.95', 'Marvel', '53,385']
['63', 'X-Files Season One', '5', '$3.95', 'Topps', '52,345']
['64', 'Shi', '12', '$2.95', 'Crusade', '52,270']
['65', 'Green Lantern', '82', '$1.75', 'DC', '51,559']
['66', 'Batman: Shadow of the Bat', '58', '$1.95', 'DC', '51,287']
['67', 'Batman: Legends of the Dark Knight', '90', '$1.95', 'DC', '51,240']
['68', 'Thrillkiller', '1', '$2.50', 'DC', '51,125']
['69', 'Preacher', '21', '$2.50', 'DC', '49,918']
['70', 'Batman: Blackgate', '1', '$3.95', 'DC', '49,688']
['71', 'Robin', '37', '$1.95', 'DC', '48,542']
['72', 'Journey into Mystery', '505', '$1.50', 'Marvel', '48,411']
['73', 'Flash', '121', '$1.75', 'DC', '47,587']
['74', 'Superman/WW: Whom Gods ...', '2', '$4.95', 'DC', '47,539']
['75', 'Wolverine Encyclopedia', '1', '$5.95', 'Marvel', '46,928']
['76', 'Flash Plus', '1', '$2.95', 'DC', '46,407']
['77', 'Star Wars: X-Wing RS: Warrior\nPrincess', '1', '$2.95', 'Dark Horse', '46,333']
['78', 'Catwoman', '41', '$1.95', 'DC', '46,184']
['79', "Purgatori: The Vampire's Myth", '3', '$2.95', 'Chaos', '44,415']
['80', 'Abominations', '2', '$1.50', 'Marvel', '44,102']
['81', "Superman's Metropolis", '', '$5.95', 'DC', '42,890']
['82', 'Batman Chronicles', '7', '$2.95', 'DC', '42,517']
['83', 'Untold Tales of Spider-Man', '17', '$0.99', 'Marvel', '42,362']
['84', 'Wonder Woman', '117', '$1.95', 'DC', '42,361']
['85', 'Dark Chylde', '5', '$2.99', 'Maximum', '42,015']
['86', 'The Dreaming', '8', '$2.50', 'DC', '40,931']
['87', "Kurt Busiek's Astro City Vol. 2", '4', '$2.50', 'Image', '40,904']
['88', 'CyberForce', '29', '$2.50', 'Top Cow', '40,490']
