['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', 'Darkness', '11', '$2.50', 'Image', '357,006']
['2', 'Avengers', '1', '$2.99', 'Marvel', '194,439']
['3', 'Iron Man', '1', '$2.99', 'Marvel', '186,328']
['4', 'Fantastic Four', '2', '$1.99', 'Marvel', '157,735']
['5', 'Uncanny X-Men', '352', '$1.99', 'Marvel', '156,519']
['6', 'X-Men', '72', '$1.99', 'Marvel', '151,534']
['7', 'Spawn', '69', '$1.95', 'Image', '147,249']
['8', 'Captain America', '2', '$1.99', 'Marvel', '142,765']
['9', 'Wolverine', '121', '$1.99', 'Marvel', '121,830']
['10', 'JLA', '15', '$2.95', 'DC', '109,108']
['11', 'Curse Of Spawn', '16', '$1.95', 'Image', '94,211']
['12', 'Generation X', '35', '$1.99', 'Marvel', '88,553']
['13', 'JLA Year One', '2', '$1.95', 'DC', '88,274']
['14', 'JLA Paradise Lost', '2', '$1.95', 'DC', '83,205']
['15', 'Wolverine Days Of Future Past', '3', '$2.50', 'Marvel', '83,194']
['16', 'Superman Red Superman Blue Coll Ed', '', '$4.95', 'DC', '79,720']
['17', 'X-Man', '35', '$1.99', 'Marvel', '78,357']
['18', 'X-Man Wildcats The Dark Age', '', '$4.50', 'Marvel', '78,357']
['19', 'Generation X Gen 13', '', '$3.99', 'Marvel', '78,325']
['20', 'X-Force', '74', '$1.99', 'Marvel', '78,325']
['21', 'X-Factor', '142', '$1.99', 'Marvel', '77,151']
['22', 'Cable', '51', '$2.99', 'Marvel', '75,841']
['23', 'Incredible Hulk', '451', '$1.99', 'Marvel', '70,408']
['24', 'Divine Right', '4', '$2.50', 'Image', '69,087']
['25', 'Tales Of The Witchblade', '4', '$2.95', 'Image', '66,292']
['26', 'Amazing Spider-Man', '431', '$1.99', 'Marvel', '66,218']
['27', 'Gen 13', '25', '$3.50', 'Image', '66,061']
['28', 'Superman', '132', '$1.95', 'DC', '65,629']
['29', 'Adventures Of Superman', '555', '$1.95', 'DC', '61,497']
['30', 'Kiss The Psycho Circus', '6', '$2.25', 'Image', '61,160']
['31', 'Uncle Sam', '2', '$4.95', 'DC', '60,997']
['32', 'Creech', '2', '$2.50', 'Image', '60,844']
['33', 'X-Man 97', '', '$2.99', 'Marvel', '60,755']
['34', 'Excalibur', '117', '$1.99', 'Marvel', '60,344']
['35', 'Peter Parker Spider-Man', '88', '$1.99', 'Marvel', '58,639']
['36', 'Spectacular Spider-Man', '254', '$1.99', 'Marvel', '56,728']
['37', 'Superman Man Of Steel', '76', '$1.95', 'DC', '53,633']
['38', 'New Years Evil Gog', '1', '$1.95', 'DC', '53,117']
['39', 'Batman', '551', '$1.95', 'DC', '52,638']
['40', 'Alpha Flight', '7', '$1.99', 'Marvel', '52,485']
['41', 'Sensational Spider-Man', '24', '$1.99', 'Marvel', '52,264']
['42', 'Deadpool', '13', '$1.99', 'Marvel', '49,922']
['43', 'Unlimited Access', '3', '$1.99', 'Marvel', '48,474']
['44', 'New Years Evil Prometheus', '1', '$1.95', 'DC', '48,048']
