['1', 'Transformers Armada', '1', '$2.95', 'Dreamwave', '145,567']
['2', 'Transformers Generation One', '4', '$2.95', 'Dreamwave', '135,066']
['3', 'Battle of the Planets', '1', '$2.95', 'Image', '117,581']
['4', 'Ultimates', '7', '$2.25', 'Marvel', '109,656']
['5', 'Spider-Man/Black Cat Evil Men Do', '2', '$2.99', 'Marvel', '108,811']
['6', 'Amazing Spider-Man', '43', '$2.25', 'Marvel', '105,998']
['7', 'New X-Men', '129', '$2.25', 'Marvel', '105,823']
['8', 'Ultimate X-Men', '20', '$2.25', 'Marvel', '99,516']
['9', 'Ultimate Spider-Man', '24', '$2.25', 'Marvel', '99,014']
['10', 'Uncanny X-Men', '408', '$2.25', 'Marvel', '93,248']
['11', 'Uncanny X-Men', '409', '$2.25', 'Marvel', '93,107']
['12', 'Spider-Man Blue', '3', '$3.50', 'Marvel', '75,284']
['13', 'Wolverine', '179', '$2.25', 'Marvel', '72,911']
['14', 'Green Arrow', '15 (Res)', '$2.50', 'DC', '71,755']
['15', 'X-Treme X-Men', '15', '$2.99', 'Marvel', '70,588']
['16', 'X-Treme X-Men', '16', '$2.99', 'Marvel', '70,346']
['17', 'Captain America', '4', '$2.99', 'Marvel', '70,284']
['18', 'G.I. Joe', '8', '$2.95', 'Image', '69,585']
['19', 'JLA', '68', '$2.25', 'DC', '64,230']
['20', 'Spider-Man Peter Parker', '46', '$2.25', 'Marvel', '62,116']
['21', 'Batman', '605', '$2.95', 'DC', '56,367']
['22', 'Avengers', '56', '$2.25', 'Marvel', '55,471']
['23', 'League Of Extraordinary Gentlemen\nVol. II', '1', '$3.50', 'DC', '54,574']
['24', 'Daredevil', '35', '$2.99', 'Marvel', '53,594']
['25', 'Detective Comics', '772', '$2.50', 'DC', '52,111']
['26', 'Incredible Hulk', '43', '$2.25', 'Marvel', '51,485']
['27', 'X-Statix', '1', '$2.99', 'Marvel', '50,657']
['28', 'Punisher', '14', '$2.99', 'Marvel', '48,357']
['29', 'JSA', '38', '$2.50', 'DC', '45,753']
['30', 'Fantastic Four', '58', '$2.25', 'Marvel', '45,685']
['31', 'Batman Gotham Knights', '31', '$2.50', 'DC', '45,477']
['32', 'Spawn', '124', '$2.50', 'Image', '43,893']
['33', 'Hawkman', '5', '$2.50', 'DC', '41,999']
['34', 'Exiles', '15', '$2.25', 'Marvel', '41,717']
['35', 'Superman', '184', '$2.25', 'DC', '40,832']
['36', 'Green Lantern', '152', '$2.25', 'DC', '40,173']
['37', 'Agent X', '1', '$2.99', 'Marvel', '40,071']
['38', 'X-Men Unlimited', '37', '$3.50', 'Marvel', '40,032']
['39', 'Thor', '51', '$2.25', 'Marvel', '39,716']
['40', 'Soldier X', '1', '$2.99', 'Marvel', '39,085']
['41', 'Iron Man', '57', '$2.25', 'Marvel', '38,544']
['42', 'Paradise X', '4', '$2.99', 'Marvel', '38,093']
['43', 'Batgirl', '30', '$2.50', 'DC', '37,636']
['44', 'Kiss', '1', '$2.99', 'Dark Horse', '37,388']
['45', 'Spider-Man Quality Of Life', '3', '$2.99', 'Marvel', '37,247']
['46', 'Nightwing', '71', '$2.25', 'DC', '37,202']
['47', 'Action Comics', '793', '$2.25', 'DC', '37,134']
['48', 'Adventures Of Superman', '606', '$2.25', 'DC', '36,700']
['49', 'Spider-Man Get Kraven', '2', '$2.25', 'Marvel', '36,531']
['50', 'Superman Man Of Steel', '128', '$2.25', 'DC', '35,641']
['51', 'Call Of Duty Precinct', '1', '$2.25', 'Marvel', '35,449']
['52', 'Infinity Abyss', '3', '$2.99', 'Marvel', '34,931']
['53', 'Infinity Abyss', '4', '$2.99', 'Marvel', '34,519']
['54', 'X-Factor', '3', '$2.50', 'Marvel', '33,893']
['55', 'Sabertooth Mary Shelley Overdrive', '2', '$2.99', 'Marvel', '33,786']
['56', 'Elektra', '12', '$2.99', 'Marvel', '33,685']
['57', 'Alias', '11', '$2.99', 'Marvel', '32,355']
['58', 'Alias', '12', '$2.99', 'Marvel', '32,304']
['59', 'Call Of Duty Brotherhood', '2', '$2.25', 'Marvel', '32,276']
['60', 'Cage', '5', '$2.99', 'Marvel', '32,078']
['61', 'Flash', '188', '$2.95', 'DC', '31,797']
['62', 'Catwoman', '9', '$2.50', 'DC', '30,962']
['63', 'Star Wars Infinities Empire Strikes\nBack', '1', '$2.99', 'Dark Horse', '30,139']
['64', 'Thunderbolts', '67', '$2.25', 'Marvel', '30,128']
['65', 'Thunderbolts', '68', '$2.25', 'Marvel', '30,010']
['66', 'Pro', '', '$5.95', 'Image', '29,931']
['67', 'Stormwatch Achilles', '1', '$2.95', 'DC', '29,688']
['68', 'Batman Legends of the Dark Knight', '157', '$2.25', 'DC', '29,649']
['69', 'Robin', '104', '$2.25', 'DC', '28,899']
['70', 'Powers', '23', '$2.95', 'Image', '28,781']
['71', 'Spider-Man Tangled Web', '16', '$2.99', 'Marvel', '28,764']
['72', 'Birds Of Prey', '45', '$2.50', 'DC', '28,753']
['73', 'Deadpool', '69', '$2.25', 'Marvel', '28,730']
['74', 'Tomb Raider', '23', '$2.99', 'Image', '28,702']
['75', 'Cable', '107', '$2.25', 'Marvel', '28,663']
['76', 'Order', '6', '$2.25', 'Marvel', '28,381']
['77', 'Battle of the Planets Ross Holofoil\nCvr', '1', '$5.95', 'Image', '28,043']
['78', 'Just Imagine\nStan Lee W/John Cassaday Creating Crisis', '$5.95', 'DC', '27,879']
['79', 'Filth', '2', '$2.95', 'DC', '27,552']
['80', 'Marvel Mangaverse', '4', '$2.25', 'Marvel', '27,468']
['81', 'Witchblade', '57', '$2.50', 'Image', '27,039']
['82', 'Spider-Girl', '49', '$2.25', 'Marvel', '26,611']
['83', 'Wonder Woman', '183', '$2.25', 'DC', '26,588']
['84', 'Legion', '10', '$2.50', 'DC', '26,532']
['85', 'Star Wars Jango Fett Open Seasons', '3', '$2.99', 'Dark Horse', '26,273']
['86', 'Young Justice', '47', '$2.50', 'DC', '25,810']
['87', 'Sojourn', '13', '$2.95', 'Crossgen', '25,782']
['88', 'Hellboy Third Wish', '1', '$2.99', 'Dark Horse', '25,782']
['89', 'Apache Skies', '1', '$2.99', 'Marvel', '25,669']
['90', 'Captain Marvel', '34', '$2.50', 'Marvel', '24,367']
['91', 'Titans', '43', '$2.50', 'DC', '24,255']
['92', 'JLA Destiny', '2', '$5.95', 'DC', '24,221']
['93', 'Marvel Knights Double Shot', '4 (Res)', '$2.99', 'Marvel', '24,159']
['94', 'Superman Aliens II Godwar', '2', '$2.99', 'Dark Horse', '24,136']
['95', 'Marvel Knights Vol. 2', '5', '$2.99', 'Marvel', '24,046']
['96', 'Thing Freakshow', '2', '$2.99', 'Marvel', '23,984']
['97', 'Blade', '5', '$2.99', 'Marvel', '22,958']
['98', 'Harley Quinn', '22', '$2.25', 'DC', '22,547']
['99', 'Hood', '3', '$2.99', 'Marvel', '22,085']
['100', 'Elektra Glimpse & Echo', '1', '$3.50', 'Marvel', '21,600']
['101', 'Star Wars', '44', '$2.99', 'Dark Horse', '21,369']
['102', 'Beautiful Killer', '1', '$2.99', 'Wizard', '21,092']
['103', 'Muties', '6', '$2.50', 'Marvel', '20,918']
['104', 'Morlocks', '4', '$2.50', 'Marvel', '20,664']
['105', 'Black Panther', '47', '$2.50', 'Marvel', '20,546']
['106', 'Lone Wolf 2100', '3', '$2.99', 'Dark Horse', '20,489']
['107', 'Supergirl', '72', '$2.25', 'DC', '20,478']
['108', 'Hellblazer', '176', '$2.50', 'DC', '20,348']
['109', 'Way of the Rat', '3', '$2.95', 'Crossgen', '20,303']
['110', 'Warlands Age Of Ice', '7', '$2.95', 'Dreamwave', '20,208']
['111', 'Fables', '3', '$2.50', 'DC', '19,469']
['112', 'Power Company', '6', '$2.50', 'DC', '18,889']
['113', 'Deadline', '4', '$2.99', 'Marvel', '18,832']
['114', '100 Bullets', '38', '$2.50', 'DC', '18,719']
['115', 'Spectre', '19', '$2.50', 'DC', '18,641']
['116', 'Route 666', '2', '$2.95', 'Crossgen', '18,392']
['117', 'Doom Patrol', '10', '$2.50', 'DC', '18,195']
['118', 'Justice League Adventures', '9', '$1.99', 'DC', '18,015']
['119', 'Transmetropolitan', '58', '$2.50', 'DC', '17,925']
['120', 'Scion', '26', '$2.95', 'Crossgen', '17,632']
['121', 'Buffy the Vampire Slayer Willow\n& Tara Wilderness', '1', '$2.99', 'Dark Horse', '17,530']
['122', 'High Roads', '4', '$2.95', 'DC', '17,451']
['123', 'Buffy the Vampire Slayer', '47', '$2.99', 'Dark Horse', '17,417']
['124', 'Automatic Kafka', '1', '$2.95', 'DC', '16,899']
['125', 'Flash Time Flies', '', '$5.95', 'DC', '16,617']
['126', 'Hip Flask Unnatural Selection', '', '$2.99', 'Active Images', '16,566']
['127', 'X-Men Evolution', '9', '$2.25', 'Marvel', '16,324']
['128', 'Azrael Agent of the Bat', '92', '$2.50', 'DC', '16,217']
