['1', 'Batman', '608', '$2.25', 'DC', '120,945']
['2', 'Ultimates', '9', '$2.25', 'Marvel', '110,000']
['3', 'Transformers War Within', '1', '$2.95', 'Dreamwave', '106,468']
['4', 'New X-Men', '133', '$2.25', 'Marvel', '104,932']
['5', 'Amazing Spider-Man', '46', '$2.25', 'Marvel', '104,835']
['6', 'Ultimate Spider-Man', '28', '$2.25', 'Marvel', '98,522']
['7', 'Ultimate Spider-Man', '29', '$2.25', 'Marvel', '98,365']
['8', 'Ultimate X-Men', '23', '$2.25', 'Marvel', '96,333']
['9', 'Spider-Man Black Cat Evil That Men\nDo', '5', '$2.99', 'Marvel', '95,160']
['10', 'Uncanny X-Men', '414', '$2.25', 'Marvel', '89,536']
['11', 'Transformers Armada', '4', '$2.95', 'Dreamwave', '87,468']
['12', 'Thundercats', '3', '$2.95', 'DC', '74,212']
['13', 'G.I. Joe Frontline', '1', '$2.95', 'Image', '73,099']
['14', 'Wolverine', '182', '$2.25', 'Marvel', '70,535']
['15', 'Spider-Man Blue', '6', '$3.50', 'Marvel', '68,552']
['16', 'X-Treme X-Men', '19', '$2.99', 'Marvel', '68,189']
['17', 'Captain America', '6 (Res)', '$2.99', 'Marvel', '65,141']
['18', 'JLA', '73', '$2.25', 'DC', '64,561']
['19', 'JLA', '74', '$2.25', 'DC', '64,343']
['20', 'G.I. Joe', '11', '$2.95', 'Image', '63,569']
['21', 'Spider-Man Peter Parker', '49', '$2.25', 'Marvel', '60,400']
['22', 'Green Arrow', '18', '$2.50', 'DC', '57,679']
['23', 'Avengers', '59', '$2.25', 'Marvel', '57,522']
['24', 'Daredevil', '38', '$2.99', 'Marvel', '56,965']
['25', 'Fantastic Four', '62', '$2.25', 'Marvel', '55,417']
['26', 'Battle of the Planets', '4', '$2.99', 'Image', '54,147']
['27', 'Incredible Hulk', '46', '$2.25', 'Marvel', '53,772']
['28', 'League Of Extraordinary Gentlemen\nVol. II', '4', '$3.50', 'DC', '51,704']
['29', 'Punisher', '17 (Res)', '$2.99', 'Marvel', '48,705']
['30', 'Punisher', '18', '$2.99', 'Marvel', '47,350']
['31', 'JSA', '41', '$2.50', 'DC', '44,762']
['32', 'Detective Comics', '775', '$3.50', 'DC', '44,363']
['33', 'Weapon X', '2', '$2.25', 'Marvel', '44,121']
['34', 'Spawn', '127', '$2.50', 'Image', '42,428']
['35', 'X-Statix', '4', '$2.25', 'Marvel', '41,775']
['36', 'Green Lantern', '155', '$2.25', 'DC', '41,738']
['37', 'Exiles', '18', '$2.25', 'Marvel', '40,444']
['38', 'Thor', '55', '$2.25', 'Marvel', '39,295']
['39', 'Mekanix', '1', '$2.99', 'Marvel', '38,049']
['40', 'Wolverine Netsuke', '2', '$3.99', 'Marvel', '37,904']
['41', 'Iron Man', '60', '$2.25', 'Marvel', '37,892']
['42', 'Superman', '187', '$2.25', 'DC', '37,711']
['43', 'Hawkman', '8', '$2.50', 'DC', '37,312']
['44', 'Batman Gotham Knights', '34', '$2.75', 'DC', '36,453']
['45', 'Action Comics', '796', '$2.25', 'DC', '36,138']
['46', 'Spider-Man Legend of the Spider Clan', '1', '$2.25', 'Marvel', '35,038']
['47', 'Batgirl', '33', '$2.50', 'DC', '34,977']
['48', 'Paradise X', '6', '$2.99', 'Marvel', '34,736']
['49', 'Adventures Of Superman', '609', '$2.25', 'DC', '34,602']
['50', 'Captain Marvel', '2', '$2.25', 'Marvel', '34,131']
['51', 'Superman Man Of Steel', '131', '$2.25', 'DC', '33,877']
['52', 'Tomb Raider', '25', '$2.99', 'Image', '33,333']
['53', 'Agent X', '4', '$2.25', 'Marvel', '33,308']
['54', 'Nightwing', '74', '$2.25', 'DC', '33,224']
['55', 'Witchblade', '60', '$2.99', 'Image', '32,244']
['56', 'Youngblood Bloodsport', '1', '$2.99', 'Arcade', '32,159']
['57', 'Flash', '191', '$2.25', 'DC', '31,349']
['58', 'Elektra', '15', '$2.99', 'Marvel', '30,527']
['59', 'Ultimate Adventures', '2', '$2.25', 'Marvel', '30,394']
['60', 'Alias', '15', '$2.99', 'Marvel', '29,825']
['61', 'Green Arrow Secret Files', '1', '$4.95', 'DC', '29,801']
['62', 'Ghost In The Shell 2 Man Machine\nInterface', '1', '$3.99', 'Dark Horse', '29,378']
['63', 'Thunderbolts', '73', '$2.25', 'Marvel', '29,281']
['64', 'Batman Legends of the Dark Knight', '160', '$2.50', 'DC', '29,257']
['65', 'Global Frequency', '1', '$2.95', 'DC', '29,220']
['66', 'Marville', '2', '$2.25', 'Marvel', '29,172']
['67', 'Shang Chi Master Of Kung Fu', '2', '$2.99', 'Marvel', '28,870']
['68', 'Birds Of Prey', '48', '$2.50', 'DC', '28,858']
['69', 'Killraven', '1', '$2.99', 'Marvel', '28,688']
['70', 'Soldier X', '4', '$2.25', 'Marvel', '28,628']
['71', 'Catwoman', '12', '$2.50', 'DC', '28,374']
['72', 'Micronauts', '3', '$2.95', 'Image', '27,443']
['73', 'Star Wars Infinities Empire Strikes\nBack', '4', '$2.99', 'Dark Horse', '27,334']
['74', 'Spider-Man Tangled Web', '19', '$2.99', 'Marvel', '27,322']
['75', 'Spider-Girl', '52', '$2.25', 'Marvel', '26,644']
['76', 'Filth', '5', '$2.95', 'DC', '26,620']
['77', 'Spider-Man Get Kraven', '5', '$2.25', 'Marvel', '26,463']
['78', 'Robin', '107', '$2.25', 'DC', '26,257']
['79', 'Legion', '13', '$2.50', 'DC', '25,906']
