['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Fallen Son:\nDeath of Captain America Wolverine', '$2.99', 'Marvel', '157,131']
['2', 'Justice League of America', '7', '$3.50', 'DC', '154,826']
['3', 'Fallen Son:\nDeath of Captain America Avengers', '$2.99', 'Marvel', '140,640']
['4', 'Dark Tower Gunslinger Born', '3', '$3.99', 'Marvel', '132,346']
['5', 'Justice League of America', '8', '$2.99', 'DC', '130,232']
['6', 'Avengers Initiative', '1', '$2.99', 'Marvel', '127,668']
['7', 'New Avengers', '29', '$2.99', 'Marvel', '125,251']
['8', 'Mighty Avengers', '2', '$2.99', 'Marvel', '121,242']
['9', 'Wolverine', '53', '$2.99', 'Marvel', '98,340']
['10', 'Justice Society of America', '5', '$2.99', 'DC', '97,969']
['11', '52', '50', '$2.50', 'DC', '96,974']
['12', 'Buffy The Vampire Slayer', '2 New Ptg', '$2.99', 'Dark Horse', '96,311']
['13', 'World War III: Part One Call To Arms', '', '$2.50', 'DC', '95,355']
['14', 'World War III: Part Two Valiant', '', '$2.50', 'DC', '95,102']
['15', 'World War III: Part Four United We\nStand', '', '$2.50', 'DC', '95,074']
['16', '52', '51', '$2.50', 'DC', '94,838']
['17', 'World War III:\nPart Three Hell Is For Heroes', '$2.50', 'DC', '94,691']
['18', '52', '48', '$2.50', 'DC', '94,618']
['19', '52', '49', '$2.50', 'DC', '94,585']
['20', 'Justice', '11', '$3.50', 'DC', '93,904']
['21', 'All Star Superman', '7', '$2.99', 'DC', '92,201']
['22', 'Uncanny X-Men', '485', '$2.99', 'Marvel', '81,681']
['23', 'X-Men', '198', '$2.99', 'Marvel', '74,765']
['24', 'Superman Batman', '33', '$2.99', 'DC', '74,731']
['25', 'Fantastic Four', '545', '$2.99', 'Marvel', '74,624']
['26', 'Ultimate Spider-Man', '108', '$2.99', 'Marvel', '72,639']
['27', 'Superman Batman', '34', '$2.99', 'DC', '71,205']
['28', 'Wolverine Origins', '13', '$2.99', 'Marvel', '70,891']
['29', 'Marvel Zombies: Army of Darkness', '2', '$2.99', 'Marvel', '69,361']
['30', 'Moon Knight', '9', '$2.99', 'Marvel', '69,125']
['31', 'Thunderbolts', '113', '$2.99', 'Marvel', '65,026']
