['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Fallen Son:\nDeath of Captain America: Captain America', '$2.99', 'Marvel', '169,972']
['2', 'Dark Tower Gunslinger Born', '4', '$3.99', 'Marvel', '131,710']
['3', 'Justice League of America', '9', '$2.99', 'DC', '129,243']
['4', 'Captain America', '26', '$2.99', 'Marvel', '126,408']
['5', 'New Avengers', '30', '$2.99', 'Marvel', '126,384']
['6', 'Astonishing X-Men', '21', '$2.99', 'Marvel', '120,457']
['7', 'Amazing Spider-Man', '540', '$2.99', 'Marvel', '119,624']
['8', 'Mighty Avengers', '3', '$2.99', 'Marvel', '115,403']
['9', 'All Star Batman & Robin', '5', '$2.99', 'DC', '114,265']
['10', 'World War Hulk Prologue World\nBreaker', '', '$3.99', 'Marvel', '111,118']
['11', 'Incredible Hulk', '106', '$2.99', 'Marvel', '110,157']
['12', 'Buffy The Vampire Slayer', '3', '$2.99', 'Dark Horse', '106,600']
['13', 'Ultimates 2', '13', '$3.99', 'Marvel', '105,711']
['14', 'Avengers Initiative', '2', '$2.99', 'Marvel', '103,156']
['15', '52', '52', '$2.50', 'DC', '102,043']
['16', 'Justice Society of America', '6', '$2.99', 'DC', '96,869']
['17', 'Wolverine', '54', '$2.99', 'Marvel', '96,052']
['18', 'New Avengers Illuminati', '3', '$2.99', 'Marvel', '92,792']
['19', 'Countdown', '51', '$2.99', 'DC', '91,054']
['20', 'Countdown', '50', '$2.99', 'DC', '83,725']
['21', 'Uncanny X-Men', '486', '$2.99', 'Marvel', '81,939']
['22', 'Countdown', '49', '$2.99', 'DC', '81,458']
['23', 'Marvel Zombies Dead Days', '', '$3.99', 'Marvel', '81,298']
['24', 'Batman', '665', '$2.99', 'DC', '80,096']
['25', 'Countdown', '48', '$2.99', 'DC', '79,784']
['26', 'X-Men', '199', '$2.99', 'Marvel', '75,971']
['27', 'Punisher War Journal', '7', '$2.99', 'Marvel', '72,848']
['28', 'Ultimate Spider-Man', '109', '$2.99', 'Marvel', '72,455']
['29', 'Fantastic Four', '546', '$2.99', 'Marvel', '72,159']
['30', 'Wolverine Origins', '14', '$2.99', 'Marvel', '68,931']
['31', 'Superman Batman', '35', '$2.99', 'DC', '68,138']
['32', 'Marvel Zombies Army of Darkness', '3', '$2.99', 'Marvel', '67,041']
['33', 'Thunderbolts', '114', '$2.99', 'Marvel', '66,288']
['34', 'Teen Titans', '47', '$2.99', 'DC', '63,653']
['35', 'Iron Man', '17', '$2.99', 'Marvel', '63,308']
['36', 'Ultimate Power', '5', '$2.99', 'Marvel', '62,764']
['37', 'Green Lantern', '19', '$2.99', 'DC', '62,419']
['38', 'Ultimate X-Men', '82', '$2.99', 'Marvel', '62,043']
['39', 'Teen Titans', '46', '$2.99', 'DC', '61,458']
['40', 'Green Lantern', '20', '$2.99', 'DC', '60,537']
['41', 'Wonder Woman', '9', '$2.99', 'DC', '58,542']
['42', 'Omega Flight', '2', '$2.99', 'Marvel', '57,221']
['43', 'Moon Knight', '10', '$2.99', 'Marvel', '56,716']
['44', 'Action Comics', '850', '$3.99', 'DC', '56,148']
['45', 'Superman', '662', '$2.99', 'DC', '55,218']
['46', 'Action Comics', '849', '$2.99', 'DC', '53,592']
['47', 'Silver Surfer Requiem', '1', '$3.99', 'Marvel', '52,992']
['48', 'Ultimate Fantastic Four', '42', '$2.99', 'Marvel', '52,824']
['49', 'Black Panther', '27', '$2.99', 'Marvel', '52,535']
['50', 'Detective Comics', '832', '$2.99', 'DC', '51,710']
['51', 'Supergirl', '17', '$2.99', 'DC', '50,413']
['52', 'Ultimate Fantastic Four', '41', '$2.99', 'Marvel', '49,900']
['53', 'Friendly Neighborhood Spider-Man', '20', '$2.99', 'Marvel', '49,892']
['54', 'Sensational Spider-Man Annual', '1', '$3.99', 'Marvel', '48,458']
['55', 'Flash Fastest Man Alive', '12', '$2.99', 'DC', '47,794']
['56', 'Amazons Attack', '2', '$2.99', 'DC', '47,537']
['57', 'Daredevil', '97', '$2.99', 'Marvel', '47,185']
['58', 'Runaways', '26', '$2.99', 'Marvel', '46,119']
['59', 'Nova', '2', '$2.99', 'Marvel', '44,518']
['60', 'Ghost Rider', '11', '$2.99', 'Marvel', '43,612']
['61', 'Ms Marvel', '15', '$2.99', 'Marvel', '42,836']
['62', 'Friendly Neighborhood Spider-Man\nAnnual', '1', '$3.99', 'Marvel', '41,930']
['63', 'She-Hulk 2', '18', '$2.99', 'Marvel', '41,786']
['64', 'X-23 Target X', '6', '$2.99', 'Marvel', '41,546']
['65', 'New X-Men', '38', '$2.99', 'Marvel', '38,903']
['66', 'X-Factor', '19', '$2.99', 'Marvel', '37,886']
['67', 'Immortal Iron Fist', '5', '$2.99', 'Marvel', '36,844']
['68', 'Silent War', '5', '$2.99', 'Marvel', '35,891']
['69', 'Ghost Rider Trail of Tears', '4', '$2.99', 'Marvel', '35,403']
['70', 'Punisher', '47', '$2.99', 'Marvel', '33,881']
['71', 'Outsiders', '47', '$2.99', 'DC', '33,256']
['72', 'Green Lantern Corps', '12', '$2.99', 'DC', '33,256']
['73', 'Star Wars Legacy', '11', '$2.99', 'Dark Horse', '33,128']
['74', 'Hellboy Darkness Calls', '1', '$2.99', 'Dark Horse', '32,311']
['75', 'Star Wars Legacy', '12', '$2.99', 'Dark Horse', '32,151']
['76', 'Newuniversal', '6', '$2.99', 'Marvel', '31,934']
['77', 'Boys', '7 (Res)', '$2.99', 'Dynamic', '31,606']
['78', 'Nightwing', '132', '$2.99', 'DC', '30,797']
['79', 'Supergirl & Legion of Super\nHeroes', '30', '$2.99', 'DC', '30,757']
['80', 'Green Arrow', '74', '$2.99', 'DC', '30,741']
['81', 'Exiles', '94', '$2.99', 'Marvel', '30,725']
['82', 'Shazam Monster Society of Evil', '3', '$5.99', 'DC', '30,661']
['83', 'Star Wars Dark Times', '3', '$2.99', 'Dark Horse', '29,491']
['84', 'New Excalibur', '20', '$2.99', 'Marvel', '28,787']
['85', 'Birds of Prey', '106', '$2.99', 'DC', '28,354']
['86', 'Spider-Man Fantastic Four', '2', '$2.99', 'Marvel', '27,017']
['87', 'Robin', '162', '$2.99', 'DC', '26,792']
['88', 'Cable Deadpool', '40', '$2.99', 'Marvel', '26,111']
['89', 'Fables', '61', '$2.99', 'DC', '26,047']
['90', 'Hellboy Darkness Calls', '2', '$2.99', 'Dark Horse', '25,999']
['91', 'Frank Frazettas Death Dealer', '2', '$3.99', 'Image', '25,831']
['92', 'Y The Last Man', '56 (Res)', '$2.99', 'DC', '25,751']
['93', 'Conan', '40', '$2.99', 'Dark Horse', '24,974']
['94', 'Spawn', '167', '$2.95', 'Image', '24,269']
['95', 'Spirit', '6', '$2.99', 'DC', '23,701']
['96', 'Star Wars Knights of Old Republic', '16', '$2.99', 'Dark Horse', '23,564']
['97', 'X-Men First Class Special', '', '$3.99', 'Marvel', '23,548']
['98', 'Star Wars Knights of Old Republic', '17', '$2.99', 'Dark Horse', '22,900']
['99', 'Checkmate', '13', '$2.99', 'DC', '22,547']
['100', 'Annihilation Saga', '', '$1.99', 'Marvel', '22,147']
['101', 'Checkmate', '14', '$2.99', 'DC', '22,067']
['102', 'Star Wars Rebellion', '6', '$2.99', 'Dark Horse', '21,994']
['103', 'JLA Classified', '38', '$2.99', 'DC', '21,954']
['104', 'JSA Classified', '26', '$2.99', 'DC', '21,562']
['105', 'Spawn Godslayer', '1', '$2.99', 'Image', '21,226']
['106', 'Supernatural Origins', '1', '$2.99', 'DC', '21,121']
['107', 'Anita Blake\nVampire Hunter Guilty Pleasures Handbk', '$3.99', 'Marvel', '20,929']
['108', 'Red Sonja', '22', '$2.99', 'Dynamic', '20,721']
['109', 'Heroes For Hire', '10', '$2.99', 'Marvel', '20,497']
['110', 'Shadowpact', '13', '$2.99', 'DC', '20,328']
['111', 'Buffy The Vampire Slayer', '2', '$2.99', 'Dark Horse', '20,200']
['112', 'Jack of Fables', '10', '$2.99', 'DC', '19,976']
['113', 'Catwoman', '67', '$2.99', 'DC', '19,920']
['114', 'Midnighter', '7', '$2.99', 'DC', '19,904']
['115', 'Gen 13', '8', '$2.99', 'DC', '19,632']
['116', 'Amazing Spider-Girl', '8', '$2.99', 'Marvel', '19,568']
['117', 'Mystery in Space', '8', '$3.99', 'DC', '19,423']
['118', 'Punisher Presents Barracuda Max', '4', '$3.99', 'Marvel', '19,415']
['119', 'Loners', '2', '$2.99', 'Marvel', '18,895']
['120', 'Dark Tower Gunslinger Born', '2', '$3.99', 'Marvel', '18,566']
['121', 'Iron Man Hypervelocity', '5', '$2.99', 'Marvel', '18,414']
['122', 'Ex Machina', '28', '$2.99', 'DC', '18,158']
['123', 'Marvel Zombies Army of Darkness', '1', '$2.99', 'Marvel', '18,014']
['124', 'Kiss 4k', '1', '$3.99', 'Image', '17,717']
['125', 'Thunderbolts Presents Zemo Born\nBetter', '4', '$2.99', 'Marvel', '17,397']
['126', 'Spider-Man Fairy Tales', '1', '$2.99', 'Marvel', '17,357']
['127', 'Transformers Prime Directive Movie\nPrequel', '4', '$3.99', 'IDW', '17,301']
['128', 'Tales of Unexpected', '8', '$3.99', 'DC', '17,101']
['129', 'Battlestar Galactica', '9', '$2.99', 'Dynamic', '16,996']
['130', 'Blade', '9', '$2.99', 'Marvel', '16,940']
['131', 'Blue Beetle', '15', '$2.99', 'DC', '16,900']
['132', 'Aquaman Sword of Atlantis', '52', '$2.99', 'DC', '16,772']
['133', 'All New Official Handbook to the\nMarvel Universe A To Z Update', '2', '$3.99', 'Marvel', '16,628']
['134', 'Hawkgirl', '63', '$2.99', 'DC', '16,492']
['135', 'Jonah Hex', '19', '$2.99', 'DC', '16,468']
['136', 'All New Atom', '11', '$2.99', 'DC', '16,187']
['137', 'Witchblade', '105', '$2.99', 'Image', '16,091']
['138', 'Red Sonja Vacant Shell One Shot', '', '$4.99', 'Dynamic', '15,971']
['139', 'BPRD Garden of Souls', '3', '$2.99', 'Dark Horse', '15,963']
['140', 'Hawkgirl', '64', '$2.99', 'DC', '15,811']
['141', 'Criminal', '6', '$2.99', 'Marvel', '15,715']
['142', 'Irredeemable Ant-Man', '8', '$2.99', 'Marvel', '15,587']
['143', 'Satans #### Baby', '', '$3.50', 'Dark Horse', '15,515']
['144', 'Buffy The Vampire Slayer', '1', '$2.99', 'Dark Horse', '15,234']
['145', 'G.I. Joe Americas Elite', '23', '$3.50', "Devil's Due", '15,034']
['146', 'Grifter Midnighter', '3', '$2.99', 'DC', '14,842']
['147', 'Witchblade', '106', '$2.99', 'Image', '14,770']
['148', 'Transformers Escalation', '6', '$3.99', 'IDW', '14,441']
['149', 'Danger Girl Body Shots', '2', '$2.99', 'DC', '14,353']
['150', 'Giant Sized Red Sonja', '1', '$4.99', 'Dynamic', '14,217']
['151', 'Painkiller Jane', '1', '$3.50', 'Dynamic', '14,025']
['152', 'G.I. Joe Storm Shadow', '1', '$3.50', "Devil's Due", '13,432']
['153', 'Invincible', '41', '$2.99', 'Image', '13,424']
['154', 'Wetworks', '9', '$2.99', 'DC', '13,336']
['155', 'Hellblazer', '232', '$2.99', 'DC', '13,160']
