['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Detective Comics', '853', '$3.99', 'DC', '104,099']
['2', 'Flash Rebirth', '1', '$3.99', 'DC', '102,421']
['3', 'Wolverine Weapon X', '1', '$3.99', 'Marvel', '97,888']
['4', 'Dark Avengers', '4', '$3.99', 'Marvel', '95,846']
['5', 'New Avengers', '52', '$3.99', 'Marvel', '93,967']
['6', 'Batman Battle For The Cowl', '2', '$3.99', 'DC', '89,113']
['7', 'Hulk', '11', '$3.99', 'Marvel', '82,719']
['8', 'Justice Society of America', '26', '$2.99', 'DC', '81,193']
['9', 'Green Lantern', '39', '$2.99', 'DC', '79,785']
['10', 'Thor', '601', '$3.99', 'Marvel', '79,620']
['11', 'Green Lantern', '40', '$2.99', 'DC', '76,659']
['12', 'Uncanny X-Men', '508', '$2.99', 'Marvel', '76,436']
['13', 'X-Men Legacy', '223', '$2.99', 'Marvel', '71,929']
['14', 'Uncanny X-Men', '509', '$2.99', 'Marvel', '69,179']
['15', 'Mighty Avengers', '24', '$2.99', 'Marvel', '68,225']
['16', 'Astonishing X-Men', '29', '$2.99', 'Marvel', '67,768']
['17', 'Amazing Spider-Man', '590', '$2.99', 'Marvel', '66,410']
['18', 'Justice League of America', '32', '$2.99', 'DC', '66,016']
['19', 'Amazing Spider-Man', '592', '$2.99', 'Marvel', '65,935']
['20', 'Justice Society of America', '25', '$2.99', 'DC', '65,708']
['21', 'Captain America', '49', '$2.99', 'Marvel', '63,869']
['22', 'Buffy The Vampire Slayer', '24', '$2.99', 'Dark Horse', '60,911']
['23', 'Ultimate Wolverine Vs Hulk', '4', '$2.99', 'Marvel', '60,813']
['24', 'Amazing Spider-Man', '591', '$2.99', 'Marvel', '60,503']
['25', 'Ultimate Wolverine Vs Hulk', '5', '$2.99', 'Marvel', '59,398']
['26', 'Green Lantern Corps', '35', '$2.99', 'DC', '58,764']
['27', 'X-Force', '14', '$2.99', 'Marvel', '57,303']
['28', 'Final Crisis Legion of Three Worlds', '4', '$3.99', 'DC', '56,883']
['29', 'Invincible Iron Man', '12', '$2.99', 'Marvel', '51,770']
['30', 'Dark Reign Cabal', '', '$3.99', 'Marvel', '50,217']
['31', 'Secret Warriors', '3', '$2.99', 'Marvel', '50,122']
['32', 'Kick Ass', '6', '$2.99', 'Marvel', '50,033']
['33', 'Thunderbolts', '131', '$2.99', 'Marvel', '49,151']
['34', 'Deadpool', '9', '$2.99', 'Marvel', '48,479']
['35', 'Avengers Invaders', '9', '$2.99', 'Marvel', '48,028']
['36', 'War of Kings', '2', '$3.99', 'Marvel', '47,648']
['37', 'Avengers Initiative', '23', '$2.99', 'Marvel', '45,142']
['38', 'Daredevil', '118', '$2.99', 'Marvel', '44,978']
['39', 'Wolverine Origins', '35', '$2.99', 'Marvel', '44,972']
['40', 'Superman World of New Krypton', '2', '$2.99', 'DC', '44,876']
['41', 'Avengers Invaders', '10', '$2.99', 'Marvel', '43,993']
['42', 'Action Comics', '876', '$2.99', 'DC', '43,364']
['43', 'Superman', '687', '$2.99', 'DC', '43,037']
['44', 'Marvel Zombies 4', '1', '$3.99', 'Marvel', '42,888']
['45', 'Superman Batman', '57', '$2.99', 'DC', '41,740']
['46', 'Dark Reign Hawkeye', '1', '$3.99', 'Marvel', '41,053']
['47', 'Superman Batman', '58', '$2.99', 'DC', '40,997']
['48', 'Cable', '13', '$2.99', 'Marvel', '40,537']
['49', 'Superman Batman', '59', '$2.99', 'DC', '40,179']
['50', 'Dark Tower Sorcerer', '1', '$3.99', 'Marvel', '39,207']
['51', 'Batman Battle For The Cowl Arkham', '1', '$2.99', 'DC', '39,184']
['52', 'New Avengers Reunion', '2', '$3.99', 'Marvel', '38,932']
['53', 'Stand American Nightmares', '2', '$3.99', 'Marvel', '38,906']
['54', 'Batman Battle For The Cowl The\nUnderground', '1', '$2.99', 'DC', '38,758']
['55', 'Batman Battle For The Cowl Man Bat', '1', '$2.99', 'DC', '38,492']
['56', 'Deadpool Suicide Kings', '1', '$3.99', 'Marvel', '38,417']
['57', 'Punisher', '4', '$2.99', 'Marvel', '36,992']
['58', 'Captain America Comics 70th Anniv\nSpecial', '1', '$3.99', 'Marvel', '36,714']
['59', 'Azrael Deaths Dark Knight', '2', '$2.99', 'DC', '36,429']
['60', 'Titans', '12', '$2.99', 'DC', '36,011']
['61', 'Teen Titans', '70', '$2.99', 'DC', '35,409']
['62', 'Teen Titans', '69', '$2.99', 'DC', '35,372']
['63', 'War of Kings Ascension', '1', '$3.99', 'Marvel', '34,537']
['64', 'X-Men Origins Wolverine', '1', '$3.99', 'Marvel', '34,356']
['65', 'War Machine', '5', '$2.99', 'Marvel', '34,251']
['66', 'Supergirl', '40', '$2.99', 'DC', '34,077']
['67', 'Incredible Hercules', '128', '$2.99', 'Marvel', '33,736']
['68', 'Oracle', '2', '$2.99', 'DC', '33,728']
['69', 'Trinity', '44', '$2.99', 'DC', '33,496']
['70', 'Black Panther 2', '3', '$2.99', 'Marvel', '33,353']
['71', 'Trinity', '45', '$2.99', 'DC', '33,352']
['72', 'Trinity', '46', '$2.99', 'DC', '33,111']
['73', 'Trinity', '47', '$2.99', 'DC', '32,967']
['74', 'Trinity', '48', '$2.99', 'DC', '32,823']
['75', 'Teen Titans Annual 2009', '1', '$4.99', 'DC', '32,522']
['76', 'Wolverine Noir', '1', '$3.99', 'Marvel', '32,109']
['77', 'X-Factor', '42', '$2.99', 'Marvel', '31,997']
['78', 'Wonder Woman', '31', '$2.99', 'DC', '31,854']
['79', 'Dark Reign Fantastic Four', '2', '$2.99', 'Marvel', '31,494']
['80', 'Exiles', '1', '$3.99', 'Marvel', '31,133']
['81', 'Angel', '20', '$3.99', 'IDW', '30,306']
['82', 'Dark Reign Elektra', '2', '$3.99', 'Marvel', '29,890']
['83', 'Agents of Atlas', '3', '$2.99', 'Marvel', '29,746']
['84', 'Preacher', ' 1 Sp. Ed.', '$1.00', 'DC', '28,572']
['85', 'Ms Marvel', '38', '$2.99', 'Marvel', '27,533']
['86', 'Skaar', '10', '$2.99', 'Marvel', '27,315']
['87', 'Outsiders', '17', '$2.99', 'DC', '27,169']
['88', 'Guardians of Galaxy', '13', '$2.99', 'Marvel', '27,105']
['89', 'Female Force', '3 Michelle Obama', '$3.99', 'Bluewater', '27,022']
['90', 'Secret Invasion Aftermath Beta Ray\nBill Green of Eden', '1', '$3.99', 'Marvel', '26,243']
['91', 'Nova', '24', '$2.99', 'Marvel', '26,238']
['92', 'Boys', '29', '$2.99', 'Dynamic', '26,031']
['93', 'Sub-Mariner Comics 70th Anniv\nSpecial', '1', '$3.99', 'Marvel', '25,955']
['94', 'Halo Uprising', '4', '$3.99', 'Marvel', '25,810']
['95', 'Daredevil Noir', '1', '$3.99', 'Marvel', '24,671']
['96', 'Star Wars Legacy', '35', '$2.99', 'Dark Horse', '24,550']
['97', 'Secret Six', '8', '$2.99', 'DC', '24,336']
['98', 'Incognito', '3', '$3.50', 'Marvel', '24,278']
['99', 'Wolverine Anniversary', '', '$3.99', 'Marvel', '23,724']
['100', 'Fables', '83', '$2.99', 'DC', '23,628']
['101', 'Walking Dead', '60', '$2.99', 'Image', '23,583']
['102', 'All New Savage She-Hulk', '1', '$3.99', 'Marvel', '23,218']
['103', 'Booster Gold', '19', '$2.99', 'DC', '23,201']
['104', 'Ghost Rider', '34', '$2.99', 'Marvel', '23,128']
['105', 'G.I. Joe', '4', '$3.99', 'IDW', '22,733']
['106', 'Moon Knight', '29', '$2.99', 'Marvel', '22,687']
['107', 'Identity Crisis', ' 1 Sp. Ed.', '$1.00', 'DC', '22,495']
['108', 'Immortal Iron Fist', '25', '$2.99', 'Marvel', '22,307']
['109', 'Skrull Kill Krew', '1', '$3.99', 'Marvel', '22,232']
['110', 'Green Arrow Black Canary', '19', '$2.99', 'DC', '21,931']
['111', 'Fantastic Force', '1', '$3.99', 'Marvel', '21,863']
['112', 'Punisher Frank Castle Max', '69', '$3.99', 'Marvel', '21,841']
['113', 'Vigilante', '5', '$2.99', 'DC', '21,288']
['114', 'Dark Tower Guide To Gilead', '', '$3.99', 'Marvel', '21,171']
['115', 'Conan The Cimmerian', '10', '$2.99', 'Dark Horse', '20,417']
['116', 'Literals', '1', '$2.99', 'DC', '20,285']
['117', 'Captain Britain and M.I. 13', '12', '$2.99', 'Marvel', '19,990']
['118', 'Timestorm 2009 2099', '1', '$3.99', 'Marvel', '19,971']
['119', 'Runaways 3', '9', '$2.99', 'Marvel', '19,849']
['120', 'Spawn', '191', '$2.95', 'Image', '19,803']
['121', 'Batman Confidential', '28', '$2.99', 'DC', '19,538']
['122', 'Destroyer', '1', '$3.99', 'Marvel', '19,393']
['123', 'Star Wars Dark Times', '13', '$2.99', 'Dark Horse', '19,254']
['124', 'Jack of Fables', '33', '$2.99', 'DC', '19,240']
['125', 'G.I. Joe Cobra', '2', '$3.99', 'IDW', '18,683']
['126', 'Rampaging Wolverine', '1', '$3.99', 'Marvel', '18,676']
['127', 'G.I. Joe Origins', '3', '$3.99', 'IDW', '18,528']
['128', 'Solomon Grundy', '2', '$2.99', 'DC', '18,514']
['129', 'Marvels Eye of Camera', '5', '$3.99', 'Marvel', '18,124']
['130', 'Captain America\nTheater of War Brother In Arms', '$3.99', 'Marvel', '18,113']
['131', 'Star Wars Knights Old Republic', '40', '$2.99', 'Dark Horse', '17,888']
['132', 'Angel Blood And Trenches', '2', '$3.99', 'IDW', '17,734']
['133', 'Warlord', '1', '$2.99', 'DC', '17,539']
['134', 'X-Men Times And Life of Lucas Bishop', '3', '$3.99', 'Marvel', '17,067']
['135', 'G.I. Joe Movie Prequel', '2 Destro', '$3.99', 'IDW', '16,659']
['136', 'Angel Smile Time', '3', '$3.99', 'IDW', '16,172']
['137', 'Wonderful Wizard of Oz', '5', '$3.99', 'Marvel', '16,109']
['138', 'Star Wars Clone Wars', '5', '$2.99', 'Dark Horse', '15,870']
['139', 'Astonishing Tales', '3', '$3.99', 'Marvel', '15,861']
['140', 'Invincible', '61', '$2.99', 'Image', '15,677']
['141', 'Batman Gotham After Midnight', '12', '$2.99', 'DC', '15,616']
['142', 'Squadron Supreme 2', '10', '$2.99', 'Marvel', '15,568']
['143', 'Anita Blake LC Necromancer', '1', '$3.99', 'Marvel', '15,307']
['144', 'Ignition City', '1', '$3.99', 'Avatar', '14,931']
['145', 'Masquerade', '2', '$3.50', 'Dynamic', '14,825']
['146', 'Star Trek Countdown', '4', '$3.99', 'IDW', '14,544']
['147', 'B.P.R.D. Black Goddess', '4', '$2.99', 'Dark Horse', '14,542']
['148', 'Strange Adventures', '2', '$3.99', 'DC', '14,498']
['149', 'Rebels', '3', '$2.99', 'DC', '14,441']
['150', 'Witchblade', '126 Sejic Cvr A', '$2.99', 'Image', '14,038']
['151', 'Sgt Rock The Lost Battalion', '5', '$2.99', 'DC', '13,878']
['152', 'Wolverine Weapon X Files', '', '$4.99', 'Marvel', '13,843']
['153', '100 Bullets', '100', '$4.99', 'DC', '13,754']
['154', 'Wolverine First Class', '14', '$2.99', 'Marvel', '13,694']
['155', 'Ex Machina', '41', '$2.99', 'DC', '13,525']
['156', 'Masquerade', '3', '$3.50', 'Dynamic', '13,256']
['157', 'Irredeemable', '1', '$3.99', 'Boom', '13,217']
['158', 'World of Warcraft', '18', '$2.99', 'DC', '13,109']
['159', 'Seaguy The Slaves of Mickey Eye', '1', '$3.99', 'DC', '12,738']
['160', 'House of Mystery', '12', '$2.99', 'DC', '12,635']
['161', 'Red Sonja', '43', '$2.99', 'Dynamic', '12,317']
['162', 'Transformers All Hail Megatron', '10', '$3.99', 'IDW', '12,182']
['163', 'Fallen Son Death\nof Captain America Iron Man', '$2.99', 'Marvel', '12,024']
['164', 'Ignition City', '2', '$3.99', 'Avatar', '11,951']
['165', 'Dr Doom Masters of Evil', '3', '$2.99', 'Marvel', '11,703']
['166', 'Jonah Hex', '42', '$2.99', 'DC', '11,550']
['167', 'Gears of War', '6', '$3.99', 'DC', '11,505']
['168', 'Terry Moores Echo', '11', '$3.50', 'Abstract', '11,292']
['169', 'Enders Game Battle School', '5', '$3.99', 'Marvel', '11,190']
['170', 'Hellblazer', '254', '$2.99', 'DC', '11,052']
['171', 'No Hero', '5', '$3.99', 'Avatar', '11,023']
['172', 'X-Men First Class Finals', '3', '$3.99', 'Marvel', '10,869']
['173', 'Enders Shadow Battle School', '4', '$3.99', 'Marvel', '10,287']
['174', 'Dr Doom Masters of Evil', '4', '$2.99', 'Marvel', '10,235']
['175', 'Transformers Revenge Fallen Movie\nPrq Defiance', '4', '$3.99', 'IDW', '10,195']
['176', 'Transformers Spotlight Drift', '', '$3.99', 'IDW', '10,064']
['177', 'Rasl', '4', '$3.50', 'Cartoon', '10,001']
['178', 'Marvel Assistant Size Spectacular', '1', '$3.99', 'Marvel', '9,914']
['179', 'Transformers Spotlight Jazz', '', '$3.99', 'IDW', '9,854']
['180', 'Authority', '9', '$2.99', 'DC', '9,747']
['181', 'Beyond Wonderland', '6', '$2.99', 'Zenescope', '9,685']
['182', 'Madame Xanadu', '10', '$2.99', 'DC', '9,663']
['183', 'Broken Trinity Aftermath Kirkham\nCvr A', '', '$2.99', 'Image', '9,553']
['184', 'Farscape Strange Detractors', '1', '$3.99', 'Boom', '9,465']
['185', 'Dead Romeo', '1', '$2.99', 'DC', '9,438']
['186', 'Northlanders', '16', '$2.99', 'DC', '9,322']
['187', 'Locke & Key Head Games', '4', '$3.99', 'IDW', '9,301']
['188', 'Grimm Fairy Tales', '37', '$2.99', 'Zenescope', '9,271']
['189', 'Tiny Titans', '15', '$2.50', 'DC', '9,206']
['190', 'Frank Frazettas Neanderthal\n(One-Shot)', '', '$3.99', 'Image', '9,189']
['191', 'Farscape', '4', '$3.99', 'Boom', '9,067']
['192', 'Street Fighter IV', '2', '$3.95', 'Udon', '8,977']
['193', 'Haunted Tank', '5', '$2.99', 'DC', '8,973']
['194', 'Prototype', '1', '$3.99', 'DC', '8,870']
['195', 'X-Files', '6', '$3.50', 'DC', '8,788']
['196', 'Spirit', '27', '$2.99', 'DC', '8,784']
['197', 'Mighty', '3', '$2.99', 'DC', '8,776']
['198', 'Transformers Maximum Dinobots', '4', '$3.99', 'IDW', '8,687']
['199', 'Sherlock Holmes', '1', '$3.50', 'Dynamic', '8,679']
['200', 'Unknown Soldier', '7', '$2.99', 'DC', '8,630']
['201', 'X-Force Cable Messiah War Prologue', '', '$3.99', 'Marvel', '8,560']
['202', 'Transformers Maximum Dinobots', '5', '$3.99', 'IDW', '8,498']
['203', 'Farscape Dargos Lament', '1', '$3.99', 'Boom', '8,485']
['204', 'Billy Batson And The Magic of Shazam', '4', '$2.50', 'DC', '8,469']
['205', 'Wildcats', '10', '$2.99', 'DC', '8,459']
['206', 'Batman The Brave And The Bold', '4', '$2.50', 'DC', '8,380']
['207', 'Universal War One Revelations', '1', '$5.99', 'Marvel', '8,251']
['208', 'Sword', '16', '$2.99', 'Image', '8,230']
['209', 'Star Trek Missions End', '2', '$3.99', 'IDW', '8,159']
['210', 'Garth Ennis Battlefields Tankies', '1', '$3.50', 'Dynamic', '8,155']
['211', 'Star Trek Crew', '2', '$3.99', 'IDW', '8,120']
['212', 'DMZ', '41', '$2.99', 'DC', '8,060']
['213', 'Batman', '686', '$3.99', 'DC', '8,055']
['214', 'Amazing Spider-Man Family', '5', '$4.99', 'Marvel', '8,050']
['215', 'Grimm Fairy Tales', '1 April Fools Ed', '$5.99', 'Zenescope', '7,981']
['216', 'Dead of Night Featuring Werewolf By\nNight', '4', '$3.99', 'Marvel', '7,952']
['217', 'Astounding Wolf-Man', '14', '$2.99', 'Image', '7,836']
['218', 'Marvel Assistant Size Spectacular', '2', '$3.99', 'Marvel', '7,805']
['219', 'Jungle Girl Season 2', '4', '$3.50', 'Dynamic', '7,722']
['220', 'Simpsons Comics', '153', '$2.99', 'Bongo', '7,610']
['221', 'Zorro', '12', '$3.50', 'Dynamic', '7,575']
['222', 'Sonic The Hedgehog', '199', '$2.50', 'Archie', '7,532']
['223', 'Pride & Prejudice', '1', '$3.99', 'Marvel', '7,529']
['224', 'Astounding Wolf-Man', '15', '$2.99', 'Image', '7,454']
['225', 'Gen 13', '29', '$2.99', 'DC', '7,312']
['226', 'Dead Irons', '3', '$3.99', 'Dynamic', '7,294']
['227', 'Air', '8', '$2.99', 'DC', '7,215']
['228', 'Star Trek Alien Spotlight Klingons', '', '$3.99', 'IDW', '7,022']
['229', 'Army of Darkness', '18', '$3.50', 'Dynamic', '6,974']
['230', 'Marvel Apes: Amazing Spider-Monkey', '1', '$3.99', 'Marvel', '6,970']
['231', 'Cars Rookie', '1', '$2.99', 'Boom', '6,950']
['232', 'Scalped', '27', '$2.99', 'DC', '6,949']
['233', 'Viking', '1', '$2.99', 'Image', '6,920']
['234', 'Fringe', '4', '$2.99', 'DC', '6,898']
['235', 'Scalped', '28', '$2.99', 'DC', '6,859']
['236', 'Battlestar Galactica Final Five', '1', '$3.99', 'Dynamic', '6,832']
['237', 'Terminator Salvation Movie\nAdaptation', '0', '$3.99', 'IDW', '6,736']
['238', 'New Mutants Saga (Bundle of 25)\n(Net)', '', '$10.00', 'Marvel', '6,721']
['239', 'Army of Darkness', '19', '$3.50', 'Dynamic', '6,692']
['240', 'Supergirl Cosmic Adventures In The\n8th Grade', '5', '$2.50', 'DC', '6,575']
['241', 'Muppet Show', '2', '$2.99', 'Boom', '6,562']
['242', 'Soulfire Shadow Magic', '5', '$2.99', 'Aspen', '6,488']
['243', 'Sonic Universe', '3', '$2.50', 'Archie', '6,474']
['244', 'Thunderbolts', '130', '$2.99', 'Marvel', '6,453']
['245', 'Soulfire New World Order Beginnings', '', '$1.99', 'Aspen', '6,393']
['246', 'War That Time Forgot', '12', '$2.99', 'DC', '6,280']
['247', 'Super-Zombies', '2', '$3.50', 'Dynamic', '6,171']
['248', 'Transmetropolitan', ' 1 Sp. Ed.', '$1.00', 'DC', '6,168']
['249', 'Savage Dragon', '146', '$3.50', 'Image', '6,148']
['250', 'X-Men Kingbreaker', '4', '$3.99', 'Marvel', '6,145']
['251', 'Dark Avengers', '1 2nd Ptg Var', '$3.99', 'Marvel', '6,078']
['252', 'Savage Dragon', '147', '$3.50', 'Image', '6,058']
['253', 'Saga of The Swamp Thing', '21 Sp. Ed.', '$1.00', 'DC', '6,055']
['254', 'Terminator Salvation Movie Preq', '4', '$3.99', 'IDW', '5,931']
['255', 'Planetary', '1 Sp. Ed.', '$1.00', 'DC', '5,909']
['256', 'Man With No Name', '9', '$3.50', 'Dynamic', '5,886']
['257', 'Super Friends', '14', '$2.50', 'DC', '5,792']
['258', 'Who Wants To Be A Superhero The\nDefuser', '', '$3.50', 'Dark Horse', '5,772']
['259', 'Madman Atomic Comics', '15', '$3.50', 'Image', '5,736']
['260', 'Doktor Sleepless', '12', '$3.99', 'Avatar', '5,734']
['261', 'Bart Simpson Comics', '47', '$2.99', 'Bongo', '5,713']
['262', 'Battlestar Galactica Cylon War', '4', '$3.99', 'Dynamic', '5,708']
['263', 'Young Liars', '14', '$2.99', 'DC', '5,698']
['264', 'Strange Adventures of H.P. Lovecraft', '1', '$4.99', 'Image', '5,667']
['265', 'Terminator Revolution', '4', '$3.50', 'Dynamic', '5,578']
['266', 'American Mcgees Grimm', '1', '$3.99', 'IDW', '5,557']
['267', 'Official Index To Marvel Universe', '4', '$3.99', 'Marvel', '5,517']
['268', 'Dark Avengers', '3', '$3.99', 'Marvel', '5,432']
['269', 'I Am Legion', '3', '$3.50', "Devil's Due", '5,394']
['270', 'Gravel', '10', '$3.99', 'Avatar', '5,323']
['271', 'Cyblade', '4', '$2.99', 'Image', '5,300']
['272', 'Greatest Hits', '6', '$2.99', 'DC', '5,243']
['273', 'Ultimate Wolverine Vs Hulk New Ptg', '2', '$2.99', 'Marvel', '5,197']
['274', 'Ultimate Wolverine Vs Hulk New Ptg', '1', '$2.99', 'Marvel', '5,183']
['275', 'Wolverine', '71', '$2.99', 'Marvel', '5,183']
['276', 'Deadpool', '8', '$2.99', 'Marvel', '5,135']
['277', 'Salems Daughter', '0', '$2.99', 'Zenescope', '5,112']
['278', 'Wolverine', '70 3rd Ptg Mcniven Sketch Var', '$2.99', 'Marvel', '5,002']
['279', 'Marvel Adventures Spider-Man', '50', '$3.99', 'Marvel', '4,780']
['280', 'Franklin Richards April Fools', '', '$3.99', 'Marvel', '4,667']
['281', 'Scooby Doo', '143', '$2.50', 'DC', '4,610']
['282', 'Living Corpse Hack Slash Ann', '1', '$4.99', 'Zenescope', '4,508']
['283', 'Doctor Who Classics Series 2', '5', '$3.99', 'IDW', '4,452']
['284', 'Ythaq No Escape', '1', '$5.99', 'Marvel', '4,415']
['285', 'Amazon', '2', '$3.50', 'Dark Horse', '4,393']
['286', 'Female Force', '1 Hillary Clinton', '$3.99', 'Bluewater', '4,293']
['287', 'Dean Koontzs Nevermore', '1', '$3.99', 'Dabel', '4,245']
['288', 'Batman Battle For The Cowl', '1', '$3.99', 'DC', '4,161']
['289', 'Dynamo 5', '21', '$3.50', 'Image', '4,090']
['290', 'Elephantmen', '18', '$3.50', 'Image', '4,085']
['291', 'Glamourpuss', '6', '$3.00', 'Aardvark-Vanaheim', '4,067']
['292', 'Knights of The Dinner Table', '149', '$4.99', 'Kenzer', '4,011']
['293', 'Marvel Adventures Avengers', '35', '$2.99', 'Marvel', '3,914']
['294', 'Eureka Dormant Gene', '1', '$3.99', 'Boom', '3,865']
['295', 'Bang Tango', '3', '$2.99', 'DC', '3,847']
['296', 'Cleaners', '3', '$2.99', 'Dark Horse', '3,834']
['297', '1001 Arabian Nights Adventures of\nSinbad', '9', '$2.99', 'Zenescope', '3,772']
['298', 'Shrapnel', '4', '$2.99', 'Radical', '3,763']
['299', 'Female Force', '2 Sarah Palin', '$3.99', 'Bluewater', '3,714']
['300', 'Marvel Adventures Super Heroes', '10', '$2.99', 'Marvel', '3,699']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', 'Top Selling Trade Paperbacks', '', '', '', '']
['', '', '', '', '', '']
['', 'Trade Paperback title', '', 'Price', 'Publisher', 'Est. sales']
['1', 'Watchmen', '', '$19.99', 'DC', '6,402']
['2', 'Dark Tower Treachery Prem HC', '', '$24.99', 'Marvel', '5,602']
['3', 'Spider-Man Death of The Stacys\nPremiere HC', '', '$19.99', 'Marvel', '5,440']
['4', 'Star Wars Adv Vol. 1 Han Solo\n& Hollow Moon of\nKhorya', '', '$7.95', 'Dark Horse', '4,975']
['5', 'Green Lantern Sinestro Corps War\nVol. 1', '', '$14.99', 'DC', '4,817']
['6', 'Fallen Son Death of Captain America\nPrem HC', '', '$19.99', 'Marvel', '4,122']
['7', 'Marvel Zombies 3 HC', '', '$19.99', 'Marvel', '4,039']
['8', 'B.P.R.D. Vol 10 The Warning', '', '$17.95', 'Dark Horse', '3,999']
['9', 'Marvel Zombies Vol. 2', '', '$15.99', 'Marvel', '3,975']
['10', 'Red Prophet Tales of Alvin Maker\nPrem HC Vol. 1', '', '$19.99', 'Marvel', '3,967']
['11', 'New Avengers Vol. 9 Secret Invasion\nBook 2', '', '$14.99', 'Marvel', '3,956']
['12', 'Naruto Vol 43', '', '$7.95', 'Viz', '3,852']
['13', 'Naruto Vol 44', '', '$7.95', 'Viz', '3,851']
['14', 'Naruto Vol 42', '', '$7.95', 'Viz', '3,846']
['15', 'Mighty Avengers Vol. 4 Secret\nInvasion Book 2', '', '$14.99', 'Marvel', '3,531']
['16', 'Freakangels Vol. 2', '', '$19.99', 'Avatar', '3,470']
['17', 'Batman The Heart of Hush HC', '', '$19.99', 'DC', '3,466']
['18', 'Ultimate Spider-Man Venom Prem HC', '', '$19.99', 'Marvel', '3,415']
['19', 'Hulk Prem HC Vol. 2', '', '$19.99', 'Marvel', '3,385']
