['\n', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Ultimate Spider-Man', '160', '$3.99', 'Marvel', '159,355']
['2', 'Fear Itself', '3', '$3.99', 'Marvel', '95,621']
['3', 'Flashpoint', '2', '$3.99', 'DC', '87,505']
['4', 'Avengers', '14', '$3.99', 'Marvel', '64,057']
['5', 'FF', '5', '$2.99', 'Marvel', '58,925']
['6', 'New Avengers', '13', '$3.99', 'Marvel', '57,682']
['7', 'Amazing Spider-Man', '663', '$3.99', 'Marvel', '57,040']
['8', 'Batman Incorporated', '7', '$2.99', 'DC', '56,108']
['9', 'Batman And Robin', '24', '$2.99', 'DC', '54,984']
['10', 'Amazing Spider-Man', '664', '$3.99', 'Marvel', '54,808']
['11', 'Uncanny X-Men', '539', '$3.99', 'Marvel', '54,284']
['12', 'Green Lantern Emerald Warriors', '11', '$2.99', 'DC', '53,927']
['13', 'Uncanny X-Men', '538', '$3.99', 'Marvel', '53,319']
['14', 'Uncanny X-Force', '11', '$3.99', 'Marvel', '53,199']
['15', 'Batman', '711', '$2.99', 'DC', '53,113']
['16', 'Brightest Day Aftermath The Search', '1', '$2.99', 'DC', '51,928']
['17', 'Ultimate Spider-Man', '159', '$3.99', 'Marvel', '51,766']
['18', 'Secret Avengers', '14', '$3.99', 'Marvel', '49,898']
['19', 'Mighty Thor', '3', '$3.99', 'Marvel', '48,114']
['20', 'Alpha Flight', '1', '$3.99', 'Marvel', '46,851']
['21', 'X-Men', '12', '$3.99', 'Marvel', '45,786']
['22', 'Justice League of America', '58', '$2.99', 'DC', '45,442']
['23', 'Flashpoint Batman Knight of\nVengeance', '1', '$2.99', 'DC', '45,129']
['24', 'X-Men Legacy', '250', '$4.99', 'Marvel', '45,070']
['25', 'Captain America', '619', '$3.99', 'Marvel', '44,796']
['26', 'X-Men', '13', '$3.99', 'Marvel', '44,665']
['27', 'X-Men Legacy', '251', '$2.99', 'Marvel', '43,479']
['28', 'Ultimate Avengers Vs New Ultimates', '5', '$3.99', 'Marvel', '42,803']
['29', 'Wolverine', '10', '$3.99', 'Marvel', '42,677']
['30', 'Invincible Iron Man', '505', '$3.99', 'Marvel', '42,327']
['31', 'Action Comics', '902', '$2.99', 'DC', '41,960']
['32', 'Wolverine', '11', '$3.99', 'Marvel', '41,813']
['33', 'Flashpoint Abin Sur The Green\nLantern', '1', '$2.99', 'DC', '41,612']
['34', 'Flashpoint Hal Jordan', '1', '$2.99', 'DC', '39,404']
['35', 'Detective Comics', '878', '$2.99', 'DC', '39,152']
